"rowname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Vldlr"	233.098423038853	11.4446271933629	2.13754269732874	5.35410460229175	8.59811128620635e-08	1.02707604889149e-06
"Fzd8"	184.800554670467	10.8790411366109	2.09890911579126	5.18318828326668	2.18124640882282e-07	2.41974004190514e-06
"Bcl11b"	198.928938662677	10.6890626870972	2.08178500780226	5.13456608008798	2.82795721885005e-07	3.04970625881277e-06
"Gpr125"	106.868083758602	10.4800335113127	2.12392761932663	4.93427055420808	8.04508571966621e-07	7.67232669106221e-06
"Cyp27a1"	88.2928012045936	10.4682262089371	2.11272243763741	4.95485162766736	7.23855030852813e-07	6.98260923943503e-06
"Tnxb"	72.2265216191478	10.1341264161803	2.16320965590911	4.6847638593409	2.80282884161521e-06	2.3531596401474e-05
"Bicd1"	77.1939192241776	10.081814056043	2.08765549999925	4.82925178797298	1.37047027190667e-06	1.24781442318986e-05
"Zscan4c"	31.1110420008926	9.81569737288125	2.14225771346383	4.58194049725706	4.60680991227078e-06	3.66190416999101e-05
"Rbm11"	27.7685850287217	9.61526718283133	2.13462964875473	4.50441939117662	6.65546543158168e-06	5.06870302707081e-05
"Zscan4a"	24.7831875427398	9.49855283706037	2.17188936055592	4.37340548260208	1.22323218181204e-05	8.78386669538231e-05
"Atp9a"	30.5013653069541	9.32866469913264	2.1031855246378	4.43549301279028	9.18618114168338e-06	6.7804263642161e-05
"Cnpy1"	39.6764563563645	9.27630751933939	2.07671767296505	4.46681204676949	7.93938240736356e-06	5.97413777455831e-05
"Inpp4b"	43.4646826211014	9.19105668222031	2.16879568678254	4.23786193334581	2.25658461409139e-05	0.000151513538374708
"Zfp57"	38.0364171989172	9.17033871327152	2.11113104456518	4.34380363875531	1.40036695936365e-05	9.93511950235827e-05
"Mdfic"	321.603914408353	9.11618986451511	1.55309080768033	5.86970820987015	4.36562786786189e-09	6.82530856398262e-08
"Prickle3"	270.555648542113	9.1120202055408	1.4888350319972	6.1202349553244	9.3437479944705e-10	1.64299680644028e-08
"Csf2"	19.6538914611666	9.06856670448436	2.882887528323	3.14565400675191	0.00165715921359604	0.00646317224198133
"Gpr35"	60.1026794794898	8.97411017136323	2.3270721740944	3.85639528986917	0.00011507135576227	0.000626066189825231
"Cd72"	51.2773655304188	8.92914100725408	2.25479294529009	3.96007137857411	7.49273642919679e-05	0.000431626248595998
"Flnc"	21.6926499447727	8.90190728408883	2.09513918317044	4.24883814669445	2.14882098532231e-05	0.000145463476892309
"Zc3h12c"	1431.46560659186	8.87644558925502	0.552086612536292	16.0779946256558	3.63971426501394e-58	2.38749430940284e-55
"Plxdc1"	97.7255784395266	8.85649238678689	1.54874390576917	5.71850023350917	1.07468369347265e-08	1.5560223496566e-07
"Dmwd"	333.972200127265	8.82988339836482	1.5713578079545	5.61926975108173	1.91766251434575e-08	2.63735408878162e-07
"Slc38a4"	24.6072548508627	8.82303323054304	2.19227234731896	4.02460635939379	5.70706967324296e-05	0.000340595570254021
"Trpc7"	16.5483318666585	8.81662172608558	2.14467629919286	4.11093353780413	3.94062627718353e-05	0.000246082342135237
"Lrrc9"	17.2750087885645	8.6941672330643	2.28733604869877	3.80100127307935	0.000144112561568412	0.000765303138466256
"Serpine1"	335.093723351013	8.66115767351826	1.49132185973977	5.80770516904353	6.33349170451745e-09	9.60335571317134e-08
"G730013B05Rik"	16.8988017243065	8.63547020011306	2.21646814710575	3.89604976339912	9.77743080416424e-05	0.000542559334240326
"Mroh7"	17.7939572988703	8.63071312339031	2.20468455627299	3.91471564439155	9.05108132134347e-05	0.00050763443827178
"A530046M15Rik"	14.3531273180195	8.62477505657198	2.29765159540942	3.75373493257368	0.000174219093243639	0.000900768834738446
"Ntf5"	15.8751091029945	8.57218093622174	2.54918665839268	3.36271214506776	0.000771807976308313	0.00332313554182749
"Npy4r"	23.3930416804862	8.56498134127547	2.38540525630797	3.59057703869236	0.000329946687901815	0.00157778309996028
"Nhsl1"	18.6021045245721	8.54896375330019	2.38060306085962	3.5910916413815	0.000329295815542527	0.00157616940643721
"Fut2"	24.6112572466797	8.50987231547078	2.18423991989907	3.89603369022941	9.77807933849968e-05	0.000542559334240326
"Gm13242"	18.864694743245	8.42054632403644	2.11161896116538	3.98772054944478	6.67111775164885e-05	0.000390319653798168
"Gja1"	38.0261407832635	8.41462084257037	2.25750233058384	3.72740294819282	0.000193463020893175	0.000987741656925662
"Maats1"	27.5159268702359	8.39624352414264	2.12599860095388	3.9493175208937	7.83743319869713e-05	0.000448061215114603
"Plscr4"	16.3580229230588	8.3595357456207	2.16441700583789	3.8622574684422	0.000112344074943982	0.000613440122576857
"Rex2"	26.5181451494094	8.28020225711425	2.12079695049395	3.90428808150903	9.45031583440255e-05	0.00052724371958294
"Kazn"	105.983009371437	8.25378112200266	1.46419413197506	5.63708113682238	1.72956635152559e-08	2.39614027047443e-07
"H2-Ab1"	420.032566578928	8.23811190412338	1.65202669267235	4.98666997371408	6.14288644124282e-07	6.04157286434357e-06
"Zscan4d"	10.6709160958712	8.20731613390788	2.28126227581332	3.59770826043305	0.000321033418963271	0.00154102169643617
"Gm13154"	23.0338544890523	8.18400255181732	2.09325282724373	3.90970571987404	9.24086287836214e-05	0.000517103613411321
"Zfp534"	94.2657409030831	8.18397657533916	1.48028278435894	5.52865753882516	3.22690570002176e-08	4.22240470912648e-07
"Lypd6b"	11.7036240883784	8.17744626949615	2.21676371598279	3.68891199839525	0.000225215095457259	0.00113185214695659
"5830428M24Rik"	26.4706740253179	8.16206453396176	2.1688423437859	3.76332772981285	0.000167667240302204	0.000871789836031414
"Arxes2"	15.9597854522819	8.14394675049248	2.22740214042022	3.65625344553008	0.000255928330121718	0.00125771684578058
"Ablim1"	193.369348975518	8.08625479450654	1.64890772716917	4.90400685330583	9.39012109609047e-07	8.78838442783604e-06
"Il1a"	58.4585618020232	8.03096800946632	1.49797479191714	5.36121705972642	8.26631180615537e-08	9.9452827926209e-07
"Mmp11"	12.5931176130177	7.96489371977478	2.21996093529814	3.58785309828216	0.00033341204161167	0.00159233538201813
"Epb4.1l1"	25.0566478111957	7.96048884259351	2.35137951887237	3.3854546995506	0.000710604373866945	0.00308603574799384
"Srgap1"	11.1618461376078	7.92636723998023	2.24580802910677	3.52940551340571	0.000416494400483811	0.00192809175210164
"Sh3tc2"	34.0340088926677	7.91705015728727	2.33011571413539	3.39770686462452	0.00067953190506677	0.00296646349876804
"Atp8b5"	14.908034409171	7.91362783771935	2.11484590172938	3.74194064505982	0.000182604650075909	0.000938017145282685
"Stra6"	50.9636821936176	7.89374248960411	2.09781360108538	3.7628426498522	0.000167992906435981	0.00087276480006875
"Il6"	11.4835077461317	7.8676228329685	2.61248703137831	3.01154522050111	0.00259921685102357	0.00943106893491887
"Ptprq"	8.7433709234314	7.82714107336627	2.73937605827368	2.8572714760086	0.0042730020139541	0.0143512223810165
"Bmyc"	20.6571758314413	7.82346605082998	2.12730908472717	3.67763486133626	0.000235406618914835	0.00117446417313761
"Spsb1"	13.3700718458046	7.80065496349486	2.17882883439771	3.58020549404523	0.000343324101845831	0.00163141125182616
"Muc20"	40.5966441409558	7.73296664471722	1.71979530721676	4.49644595043809	6.90987341355218e-06	5.24392656892665e-05
"Gimap5"	27.124720244328	7.7077903379729	2.22868942302668	3.45844075820367	0.000543311744806053	0.00243884090862509
"Trp73"	27.3119815725078	7.69960320599892	2.15629468277407	3.57075647753924	0.000355951719431111	0.00168293437513544
"Sept4"	23.7526054209107	7.68012593265445	2.14689625257613	3.57731582205653	0.000347140652740612	0.00164643540644376
"Zfp507"	617.775647867709	7.66458168280842	0.845320213548959	9.06707489062606	1.22254885618823e-19	7.43733652956124e-18
"Sdc2"	98.2975611198922	7.65703897683059	1.28569298829498	5.95557341180259	2.59161530659321e-09	4.20879441663851e-08
"Zik1"	28.671426734276	7.6410904396829	2.14957028365757	3.55470602556029	0.000378401918013975	0.00177186521945278
"Pnliprp2"	8.36706753083132	7.62873350427068	2.61609041021794	2.91608175102601	0.00354457611409898	0.0122289091775466
"Plxnb2"	147.08979881313	7.62178264324483	1.62700916257301	4.68453578416943	2.80595144561651e-06	2.35447104894417e-05
"Gbgt1"	8.32698476623385	7.61905282587096	2.34523770148019	3.24873373008724	0.00115919931666827	0.00473182902883499
"Slc15a2"	191.663871531629	7.60585944198183	1.58701149558583	4.79256732741826	1.64660486386118e-06	1.46996021189785e-05
"Bhlhb9"	199.548082363408	7.60037553228082	1.10798388160266	6.85964449346245	6.90321233864795e-12	1.67981878311583e-10
"Zfp423"	15.6012805420238	7.58013191837231	2.13117993968566	3.55677705913952	0.000375432503365068	0.00175959930980701
"St8sia1"	22.1463949883228	7.57341148277942	2.2217178688483	3.4088088271556	0.000652471862784529	0.00286741712607929
"Cyp2b9"	8.2004562946455	7.54968929442069	2.46204885329498	3.06642546280788	0.00216634813525174	0.0080960352530451
"Pomc"	11.1972788295895	7.54667402061085	2.18822128193528	3.44877096430417	0.000563144141013274	0.00251663378420239
"Gimap8"	81.6390836015843	7.53686662356305	1.56409095627022	4.81868819287574	1.44505182376246e-06	1.307828246257e-05
"Prl2c5"	6.60681559494731	7.48654845315334	2.41758570829227	3.09670446324803	0.00195684859361747	0.0074552966494714
"Rpgr"	144.985969197423	7.48249494022108	1.45908347037351	5.12821582325625	2.92501005850453e-07	3.14089870125679e-06
"Gm17252"	7.06877261678886	7.4731365493383	2.89115871983328	2.58482403545428	0.00974287066654928	0.0285254906491639
"Ddx25"	7.26373246724332	7.46505268099341	2.36300910313597	3.15912988700995	0.00158240949118221	0.00619835842102053
